model,seed,fold,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_dpd_v3,41,1,im0240,32852,263812,3066,10391,0.9852419965612144,0.956607259747002,0.7597067733506001,0.9885116045533915,0.9146388997160199,0.8300046740187719,0.7094085382970913,10414,3918,662,50,32,7,11,0.6993492063492064,1.0,369,0.7154471544715447,0,0,
unet_dpd_v3,41,2,im0002,22025,278419,2627,6179,0.9864256874666438,0.9715246564268392,0.7809176003403773,0.9906527757021982,0.8934366380009735,0.8333963977599516,0.7143783853913269,13057,4403,99,99,69,7,23,0.7207464728215717,1.0,889,0.7547806524184477,4,92,0.9565217391304348
unet_dpd_v3,41,2,im0082,30231,272493,4878,3079,0.9942074166865377,0.9743885207012981,0.9075652957069948,0.9824134462506895,0.8610612663419636,0.8837018956722548,0.7916361160574003,13893,1935,273,106,93,4,9,0.8916292303084756,1.0,843,0.8979833926453143,1,20,0.9
unet_dpd_v3,41,2,im0239,29842,271845,2818,6729,0.9915452462835699,0.9693253307800561,0.816001750020508,0.9897401542981763,0.9137170851194121,0.8620993485577271,0.7576226865368504,15247,4350,221,117,95,7,15,0.8390229903050417,1.0,969,0.8101135190918473,4,88,0.6590909090909091
unet_dpd_v3,41,2,im0319,14472,288203,3483,3773,0.9886300997528648,0.9765883374041319,0.7932036174294327,0.9880590772268809,0.806015037593985,0.7995580110497238,0.6660530191458026,9439,2315,510,60,52,2,6,0.8825396825396825,1.0,582,0.9140893470790378,4,117,1.0
unet_dpd_v3,41,3,im0001,28763,272358,5104,5036,0.9889906154230594,0.9674228380683735,0.8510015089203823,0.9816046882095566,0.849292821921044,0.8501463068601661,0.7393517209469707,13119,2634,632,85,67,7,11,0.8255508870214753,1.0,658,0.8054711246200608,3,67,1.0
unet_dpd_v3,41,3,im0005,29072,268451,5313,9185,0.9828593164032156,0.953535178721945,0.7599132184959615,0.9805927733376193,0.8454849498327759,0.8004184906803227,0.667248106495295,12603,4217,2867,54,46,4,4,0.8927970177970179,1.0,446,0.9103139013452914,0,0,
unet_dpd_v3,41,3,im0077,31795,268725,7347,2145,0.9940529048808854,0.9693818303807594,0.9368002357100766,0.9733873772059463,0.8122988094629809,0.8701184970307326,0.7700971250030276,12666,945,918,90,87,1,2,0.9736507936507937,1.0,806,0.9640198511166254,6,150,0.8733333333333333
unet_dpd_v3,41,3,im0163,31298,271722,6932,1453,0.9958376722681965,0.9730736500698447,0.9556349424445055,0.9751232711534735,0.8186764321213706,0.8818697961426297,0.7887004510747675,12614,703,580,104,99,3,2,0.9684065934065935,1.0,977,0.9754350051177073,5,160,1.0
unet_dpd_v3,41,4,im0003,22194,282254,5166,3151,0.9907632156581531,0.9734081498888942,0.8756756756756757,0.9820263029712616,0.8111842105263158,0.8421971349966796,0.7274097866343286,9483,2465,699,83,69,4,10,0.8443129661503156,1.0,702,0.8304843304843305,3,67,0.8059701492537313
unet_dpd_v3,41,4,im0004,21399,271594,3221,9991,0.9817041382242508,0.9568524354599043,0.6817139216310927,0.988279387951895,0.8691714053614947,0.7641135511515801,0.6182716477420473,8935,3607,1578,45,32,2,11,0.7187524366471735,1.0,412,0.7621359223300971,1,23,1.0
unet_dpd_v3,41,4,im0139,30468,268174,7716,3589,0.987622063204219,0.9635260221908907,0.8946178465513698,0.9720323317264127,0.7979258328095538,0.8435099181905013,0.7293706461111245,13841,2493,601,98,74,9,15,0.7849003887269193,1.0,804,0.7910447761194029,3,70,1.0
unet_dpd_v3,41,4,im0235,33494,266670,4816,4206,0.9926372972107477,0.970820153564521,0.8884350132625994,0.9822605953898175,0.8742886974680241,0.8813050914353374,0.7877975350456299,12635,2224,239,91,81,3,7,0.9089133089133089,1.0,777,0.9137709137709138,4,100,1.0
unet_dpd_v3,42,0,im0236,33100,267373,3249,5257,0.9933200947954919,0.9724706209807139,0.8629454858304872,0.9879943241865037,0.9106165231505681,0.8861403367868712,0.7955583329327501,13589,3020,169,98,81,3,14,0.8373856685531356,1.0,831,0.8495788206979543,2,47,1.0
unet_dpd_v3,42,0,im0255,29876,269631,2007,8027,0.9921255348270053,0.9675842618586875,0.7882225681344485,0.9926114902922272,0.9370510930589969,0.8562175794571977,0.7485843147080932,19437,5732,75,132,104,6,22,0.8013397809855028,1.0,1133,0.8014121800529568,4,92,0.5108695652173914
unet_dpd_v3,42,0,im0291,17304,285946,2229,4114,0.9895374926474962,0.9795118106675539,0.8079185731627603,0.9922651166825713,0.8858854246659499,0.8451075675807672,0.7317630143358566,7222,2157,38,46,32,1,13,0.7111801242236025,1.0,412,0.6577669902912622,2,47,0.0
unet_dpd_v3,42,0,im0324,24704,273776,8985,3557,0.9852615335260877,0.9596748783044287,0.8741375039807509,0.9682240478708167,0.733295734512749,0.797546408393866,0.6632658540514418,7363,1313,1543,42,36,2,4,0.8869047619047619,1.0,313,0.8977635782747604,0,0,
unet_dpd_v3,42,1,im0044,25788,308976,5906,3708,0.9919380082219252,0.97208300181777,0.8742880390561432,0.9812437675065581,0.8136555814980754,0.8428828239908481,0.728433421840574,10327,1982,1123,87,77,5,5,0.9073879185948152,1.0,647,0.910355486862442,1,20,1.0
