model,seed,fold,subject,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,43,3,Subject_10,Image_10R,51845,581009,21704,7506,0.9783586726726478,0.9558803982696537,0.873532038213341,0.9639894941705256,0.704904213517519,0.7802106847253574,0.6396274134846709,16606,5792,1401,176,86,23,67,0.5508299598398868,0.6866028708133971,2428,0.5877265238879736,35,1124,0.652135231316726
unet_standard,43,3,Subject_11,Image_11L,46887,599905,16264,4232,0.9898641948658385,0.9692846267278896,0.9172127780277392,0.9736046441804116,0.74245855172523,0.8206353373588868,0.6958283246516184,10460,2623,824,122,74,12,36,0.6585202802502198,1.0,1695,0.6206489675516225,25,740,0.5337837837837838
unet_standard,43,3,Subject_11,Image_11R,46460,598979,15882,4663,0.9905877018679636,0.9691509105323851,0.9087886078673004,0.974169771704499,0.7452439767732829,0.818930947869387,0.693381090963361,9125,2609,1308,86,48,17,21,0.6526075608686535,0.95,1112,0.6798561151079137,14,431,0.703016241299304
unet_standard,43,4,Subject_04,Image_04L,64238,578447,8710,10845,0.9910560534251122,0.9704714302971732,0.8555598471025398,0.9851658074416212,0.8805998793661238,0.8678992913646466,0.7666272839019966,7163,2372,534,73,42,12,19,0.6502988289179363,0.95,1089,0.6978879706152433,14,469,0.8550106609808102
unet_standard,43,4,Subject_04,Image_04R,59067,583976,8002,14497,0.9869502269590892,0.9661944700710098,0.8029335000815616,0.9864826057725118,0.8806900356349431,0.8400162124110273,0.7241620282961038,8415,3548,559,108,49,14,45,0.5214223809440838,0.6428571428571428,1364,0.5843108504398827,17,536,0.6828358208955224
unet_standard,43,4,Subject_14,Image_14L,56278,589120,10952,9735,0.990343089825136,0.9689424022459596,0.8525290473088634,0.9817488568038502,0.8370965342852893,0.8447423129170013,0.7312154875592802,13111,5035,1029,80,58,5,17,0.7479004354778349,1.0,752,0.7632978723404256,5,105,0.6761904761904762
unet_standard,43,4,Subject_14,Image_14R,47102,587847,13531,9007,0.9847329748476082,0.9657209952440124,0.8394731682974211,0.9775000083142383,0.7768376956442861,0.806941803292731,0.6763641585295807,10232,4800,3040,35,23,3,9,0.6924816849816849,1.0,323,0.7306501547987616,2,54,1.0
unet_dpd_v3,41,0,Subject_05,Image_05L,65117,579444,10702,10525,0.9902940505186312,0.9681174788371073,0.8608577245445652,0.9818655044683858,0.8588480460042998,0.8598517110015119,0.7541577874548319,9810,2643,768,90,62,13,15,0.7600533546330586,1.0,1663,0.8190018039687312,27,1067,0.895032802249297
unet_dpd_v3,41,0,Subject_05,Image_05R,69739,574537,9592,11776,0.9891225259064806,0.9678987566927667,0.8555357909587192,0.9835789697138817,0.8790888807654007,0.8671524315183468,0.7654625879460415,9070,3332,643,118,66,17,35,0.6223216207675072,0.8885245901639345,1543,0.6571613739468568,18,608,0.6875
unet_dpd_v3,41,0,Subject_09,Image_09L,39895,605364,10930,8593,0.985506015716806,0.9706324780153494,0.8227808942418743,0.982264957958377,0.7849483521888834,0.8034194919094177,0.6714295331381063,7509,2683,3164,90,47,7,36,0.5651711205280897,0.9019138755980861,1171,0.569598633646456,15,466,0.5536480686695279
unet_dpd_v3,41,0,Subject_09,Image_09R,37615,606505,9150,11068,0.9838101522921276,0.9695666964707724,0.7726516443111558,0.9851377800878739,0.8043408532021811,0.7881778560053642,0.6504072069579652,7919,3503,2343,93,42,5,46,0.4821193437108211,0.2222222222222222,1313,0.5285605483625285,18,583,0.5557461406518011
