observer,architecture,seed,image_id,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
OBSERVER_1,DPD-2,42,15,0.9844893602174312,0.9601176812053088,0.8764611214636625,0.9698108763286257,0.7708496293813089,0.8202699221149844,0.6953030506652331,2299,318,107,7,26,0.8096264367816092,0.8855218855218855
OBSERVER_1,DPD-2,42,16,0.98533184010599,0.9563273516210352,0.8679131281259441,0.9696366401722055,0.8114231915895183,0.8387180485273128,0.7222346368715084,3634,646,115,8,11,0.8863636363636364,0.8769230769230769
OBSERVER_1,DPD-2,42,17,0.982516577432155,0.955884436259319,0.8273670604287099,0.9739588856402721,0.8171276595744681,0.8222154823285936,0.698103490063015,4261,239,93,10,12,0.8653846153846154,1.0
OBSERVER_1,DPD-2,42,18,0.9856476603749592,0.9542291267595733,0.8992503059975521,0.9613635912402962,0.7512622227903113,0.8186218183084369,0.6929379863239802,2481,353,113,4,7,0.9422222222222222,0.9736842105263158
OBSERVER_1,DPD-2,42,19,0.99029390126117,0.9587269336992278,0.9352504841597544,0.9619389964053774,0.7707480125271019,0.8450680973999175,0.7317038307604345,1675,423,113,7,6,0.911219512195122,1.0
OBSERVER_1,DPD-2,42,20,0.9874117083911269,0.9562725526650053,0.9066106165512694,0.9622009357519224,0.7411475354603956,0.8155714153304291,0.6885779572416816,2088,813,129,7,1,0.9518072289156626,0.9023255813953488
OBSERVER_1,DPD-2,43,01,0.9861513022547167,0.9532839818697995,0.9020807833537332,0.9610083861205857,0.7772895060643347,0.8350486261920499,0.7168098557302642,2387,85,141,13,14,0.8705583756345178,0.827433628318584
OBSERVER_1,DPD-2,43,02,0.9870887757711525,0.9570877038656164,0.8767013610888711,0.9712537363349428,0.8431243939998859,0.8595851080841413,0.7537477054864369,2624,173,108,10,27,0.7782874617737003,1.0
OBSERVER_1,DPD-2,43,03,0.9771302469991557,0.9485794787508804,0.7656753633765128,0.979770899341945,0.8658574326880093,0.8126906256555909,0.684480930763585,4395,96,79,13,47,0.6165354330708661,0.7447698744769874
OBSERVER_1,DPD-2,43,04,0.9763969147483643,0.957684651788186,0.8245394324885476,0.9781680643296795,0.8531628303495311,0.8386069585037206,0.7220699010072441,3712,61,106,22,60,0.6077968103957472,0.5381679389312977
OBSERVER_1,DPD-2,43,05,0.9734760382103598,0.9535251413086919,0.7760696485209398,0.9813867222236338,0.8674842630779249,0.819234711308507,0.6938167298399931,5285,42,91,14,62,0.5843621399176955,0.6946107784431138
